DmdUnit,DmdGroup,Loc,StartDate,Type - 1,Type - 2,Type - 2 DNR,Week,Base
0029977001001UA096,RETAIL,ST00010UA096,8-Apr-18,900.63,-118.185,,1,1018.815
0029977001001UA097,RETAIL,ST00010UA097,15-Apr-18,838.77,-180.045,,2,1018.815
0029977001001UA098,RETAIL,ST00010UA098,22-Apr-18,699.55,-319.265,,3,1018.815
0029977001001UA099,RETAIL,ST00010UA099,29-Apr-18,872.28,-146.535,,4,1018.815
0029977001001UA100,RETAIL,ST00010UA100,6-May-18,,-1018.815,,5,1018.815
0029977001001UA101,RETAIL,ST00010UA101,13-May-18,176.78,-842.035,,6,1018.815
0029977001001UA102,RETAIL,ST00010UA102,20-May-18,537.97,-480.845,,7,1018.815
0029977001001UA103,RETAIL,ST00010UA103,27-May-18,701.75,,,8,701.75
0029977001001UA104,RETAIL,ST00010UA104,3-Jun-18,837.48,,,9,837.48
0029977001001UA105,RETAIL,ST00010UA105,10-Jun-18,1069.03,,,10,1069.03
0029977001001UA106,RETAIL,ST00010UA106,17-Jun-18,1125.54,,,11,1125.54
0029977001001UA107,RETAIL,ST00010UA107,24-Jun-18,941.14,-26.5625,,12,967.7025
0029977001001UA108,RETAIL,ST00010UA108,1-Jul-18,994.01,,,13,994.01
0029977001001UA109,RETAIL,ST00010UA109,8-Jul-18,970.29,,,14,970.29
0029977001001UA110,RETAIL,ST00010UA110,15-Jul-18,945.2,-106.9025,,15,1052.1025
0029977001001UA111,RETAIL,ST00010UA111,22-Jul-18,907.09,-145.0125,,16,1052.1025
0029977001001UA112,RETAIL,ST00010UA112,29-Jul-18,949.91,-102.1925,,17,1052.1025
0029977001001UA113,RETAIL,ST00010UA113,5-Aug-18,1020.76,-31.3425,,18,1052.1025
0029977001001UA114,RETAIL,ST00010UA114,12-Aug-18,1041.39,,,19,1041.39
0029977001001UA115,RETAIL,ST00010UA115,19-Aug-18,1099.87,-11.69,,20,1111.56
0029977001001UA116,RETAIL,ST00010UA116,26-Aug-18,1170.1,,,21,1170.1
0029977001001UA117,RETAIL,ST00010UA117,2-Sep-18,1326.46,,,22,1326.46
0029977001001UA118,RETAIL,ST00010UA118,9-Sep-18,1114.52,,,23,1114.52
0029977001001UA119,RETAIL,ST00010UA119,16-Sep-18,1258.17,,,24,1258.17
0029977001001UA120,RETAIL,ST00010UA120,23-Sep-18,1325.6,,,25,1325.6
0029977001001UA121,RETAIL,ST00010UA121,30-Sep-18,1303.31,,,26,1303.31
0029977001001UA122,RETAIL,ST00010UA122,7-Oct-18,1118.79,,,27,1118.79
0029977001001UA123,RETAIL,ST00010UA123,14-Oct-18,1079.92,-31.64,,28,1111.56
0029977001001UA124,RETAIL,ST00010UA124,21-Oct-18,1119.27,,,29,1119.27
0029977001001UA125,RETAIL,ST00010UA125,28-Oct-18,1202.72,,,30,1202.72
0029977001001UA126,RETAIL,ST00010UA126,4-Nov-18,1231.84,,,31,1231.84
0029977001001UA127,RETAIL,ST00010UA127,11-Nov-18,1368.36,,,32,1368.36
0029977001001UA128,RETAIL,ST00010UA128,18-Nov-18,1340.14,-33.87,,33,1374.01
0029977001001UA129,RETAIL,ST00010UA129,25-Nov-18,1397.2,,,34,1397.2
0029977001001UA130,RETAIL,ST00010UA130,2-Dec-18,1498.64,,,35,1498.64
0029977001001UA131,RETAIL,ST00010UA131,9-Dec-18,1445.5,-253.1175,,36,1698.6175
0029977001001UA132,RETAIL,ST00010UA132,16-Dec-18,1749.29,,,37,1749.29
0029977001001UA133,RETAIL,ST00010UA133,23-Dec-18,2149.34,,,38,2149.34
0029977001001UA134,RETAIL,ST00010UA134,30-Dec-18,1611.82,-25.075,,39,1636.895
0029977001001UA135,RETAIL,ST00010UA135,6-Jan-19,997.09,-639.805,,40,1636.895
0029977001001UA136,RETAIL,ST00010UA136,13-Jan-19,1381.5,,,41,1381.5
0029977001001UA137,RETAIL,ST00010UA137,20-Jan-19,1267.45,,,42,1267.45
0029977001001UA138,RETAIL,ST00010UA138,27-Jan-19,1481.12,,,43,1481.12
0029977001001UA139,RETAIL,ST00010UA139,3-Feb-19,1358.5,,,44,1358.5
0029977001001UA140,RETAIL,ST00010UA140,10-Feb-19,1353.58,,,45,1353.58
0029977001001UA141,RETAIL,ST00010UA141,17-Feb-19,1368.61,,,46,1368.61
0029977001001UA142,RETAIL,ST00010UA142,24-Feb-19,1232.71,-53.4525,,47,1286.1625
0029977001001UA143,RETAIL,ST00010UA143,3-Mar-19,1177.82,,,48,1177.82
0029977001001UA144,RETAIL,ST00010UA144,10-Mar-19,1153.26,-157.46,,49,1310.72
0029977001001UA145,RETAIL,ST00010UA145,17-Mar-19,1244.64,,,50,1244.64
0029977001001UA146,RETAIL,ST00010UA146,24-Mar-19,1451.81,,,51,1451.81
0029977001001UA147,RETAIL,ST00010UA147,31-Mar-19,497.25,-634.565,,52,1131.815
0029977001001UA148,RETAIL,ST00010UA148,7-Apr-19,856.62,,,53,856.62
0029977001001UA149,RETAIL,ST00010UA149,14-Apr-19,1023.75,-78.0625,,54,1101.8125
0029977001001UA150,RETAIL,ST00010UA150,21-Apr-19,304.27,-797.5425,,55,1101.8125
0029977001001UA151,RETAIL,ST00010UA151,28-Apr-19,974.19,,,56,974.19
0029977001001UA152,RETAIL,ST00010UA152,5-May-19,1124.63,,,57,1124.63
0029977001001UA153,RETAIL,ST00010UA153,12-May-19,1257.34,,,58,1257.34
0029977001001UA154,RETAIL,ST00010UA154,19-May-19,1049.01,,,59,1049.01
0029977001001UA155,RETAIL,ST00010UA155,26-May-19,1018.44,,,60,1018.44
0029977001001UA156,RETAIL,ST00010UA156,2-Jun-19,1271.92,,,61,1271.92
0029977001001UA157,RETAIL,ST00010UA157,9-Jun-19,539.46,-305.2475,,62,844.7075
0029977001001UA158,RETAIL,ST00010UA158,16-Jun-19,,-844.7075,,63,844.7075
0029977001001UA159,RETAIL,ST00010UA159,23-Jun-19,,-844.7075,,64,844.7075
0029977001001UA160,RETAIL,ST00010UA160,30-Jun-19,,-844.7075,,65,844.7075
0029977001001UA161,RETAIL,ST00010UA161,7-Jul-19,,-844.7075,,66,844.7075
0029977001001UA162,RETAIL,ST00010UA162,14-Jul-19,213.99,,,67,213.99
0029977001001UA163,RETAIL,ST00010UA163,21-Jul-19,1026.15,,,68,1026.15
0029977001001UA164,RETAIL,ST00010UA164,28-Jul-19,499.78,-393.7775,,69,893.5575
0029977001001UA165,RETAIL,ST00010UA165,4-Aug-19,,-893.5575,,70,893.5575
0029977001001UA166,RETAIL,ST00010UA166,11-Aug-19,874.48,,,71,874.48
0029977001001UA167,RETAIL,ST00010UA167,18-Aug-19,1225.65,,,72,1225.65
0029977001001UA168,RETAIL,ST00010UA168,25-Aug-19,456.25,-286.1525,,73,742.4025
0029977001001UA169,RETAIL,ST00010UA169,1-Sep-19,1213.84,,,74,1213.84
0029977001001UA170,RETAIL,ST00010UA170,8-Sep-19,1297.46,,,75,1297.46
0029977001001UA171,RETAIL,ST00010UA171,15-Sep-19,2211.83,,,76,2211.83
0029977001001UA172,RETAIL,ST00010UA172,22-Sep-19,667.3,,,77,667.3
